Date,Site,Sample,TOC,UV254,Temperature,pH,Turbidity,Br,EC,BOD,COD,DO,SS,NH3-N,Biopolymer,HS,BB,LMWN,THMFP,HAAFP
18-Mar,M9,고령(취),2.6,0.054730775,7,8.1,8.02,0.056,347,1.8,5,10,2.6,0.01,338.54,848.43,674.338,2130.219,0.076,0.073
18-Mar,M10,달성,2.2,0.050586873,7.1,8.5,2.03,0.058,433,2.1,6,14.3,3,0.14,354.719,866.387,709.949,738.494,0.078,0.104
18-Mar,M11,고령,2.7,0.060594786,7.4,8.3,1.87,0.064,587,1.2,5.5,13.7,4.2,0.36,425.709,903.068,751.418,1686.564,0.08,0.103
18-Mar,M12,용산,2.6,0.073886546,8,8.2,2.82,0.098,795,1,5.6,13.5,1.9,0.23,459.926,1038.028,843.282,962.622,0.093,0.082
18-Mar,M13,남지,3,0.068257095,7.5,8.3,2.5,0.104,797,0.9,4.9,13.5,1.6,0.28,432.822,1052.627,731.055,775.128,0.072,0.08
18-Mar,M14,본포,2.6,0.053714346,7.7,8.3,8.28,0.112,524,1.1,5,11,3.9,0.19,430.358,960.946,631.241,919.2,0.075,0.072
18-Mar,M15,삼량진,2.3,0.058874676,7.4,8.3,1.84,0.152,695,1.1,4.9,13.2,2.4,0.07,443.282,871.611,679.498,2343.189,0.085,0.089
18-Mar,M16,물금,2.2,0.05433984,7.8,8.2,3.01,0.154,654,0.9,5,12.4,1.9,0.08,360.855,875.4,594.7,1051.557,0.079,0.071
18-Mar,M17,구포,2.7,0.070993633,7.5,8.1,3.62,0.188,578,0.9,5.3,12.1,2.6,0.09,325.941,1165.274,756.578,438.912,0.097,0.093
18-Mar,M18,하구둑,2.7,0.068960776,8.5,7.7,2.06,0.42,203,0.7,5.1,10.4,3.2,0.23,646.862,966.857,917.992,2369.967,0.135,0.067
18-Mar,T1,위천6,5.1,0,11.8,7.8,1.35,0.031,361,4.2,10.4,10.5,7.3,0.01,1031,2738,1604,1021,0.168,0.213
18-Mar,T2,감천2-1,3.8,0.15222974,10.3,7.9,1.29,0.024,263,1.6,8.4,11,13,0.01,483.543,2195.087,1175.779,546.769,0.157,0.222
18-Mar,T3,금호강,3.5,0.104379406,9.7,7.6,2.83,0.094,710,0.2,7.4,8.2,4.2,0.15,613.715,1716.498,1054.905,848.257,0.124,0.149
18-Mar,T4,회천,2.7,0.075684842,8.2,8,1.37,0.096,843,1.1,6.1,13.6,3.4,0.37,539.424,1134.99,867.411,3225.151,0.067,0.072
18-Mar,T5,황강,1.5,0.041204455,8.6,8,1.58,0.025,258,0.1,2.7,11.6,0.4,0.01,164.482,595.825,467.503,341.841,0.057,0.056
18-Mar,T6,밀양강3,1.7,0.04081352,9.2,7.9,2.92,0.145,696,0.8,4.3,11.9,1.8,0.36,336.309,790.544,416.736,783.124,0.091,0.099
18-Apr,M1,안동호,2,0.046574663,7.8,6.8,2.8,0.013,231,1.7,5.1,11.3,0.7,0.01,223.291,902.684,618.131,704.556,0.153,0.082
18-Apr,M2,임하호,3.4,0.102581109,10.1,7.5,3.87,0.012,222,1.4,8.1,10.4,2.5,0.02,241.423,1734.373,953.231,1127.801,0.113,0.109
18-Apr,M3,예천,2,0.057154566,13.9,7.8,7.57,0.018,240,2.4,4.8,10.7,11.2,0.02,158.252,884.621,613.064,540.772,0.29,0.114
18-Apr,M4,상주,1.8,0.048788576,17.7,8.1,2.38,0.023,258,1.6,4.2,10.1,3.6,0.01,155.974,739.332,572.292,927.15,0.121,0.115
18-Apr,M5,낙단보,2.5,0.069273523,14.8,8.7,4.9,0.025,236,2.2,4.5,11.8,6.3,0.02,173.547,1066.268,783.961,658.81,0.132,0.192
18-Apr,M6,해평,2.6,0.084676327,15,7.3,11.4,0.02,231,1.2,4.8,9.6,10.9,0.03,160.995,1217.659,772.71,820.037,0.212,0.192
18-Apr,M7,구미,3.1,0.092651383,15.3,8.6,6.08,0.05,352,2.5,5.5,13.8,11.4,0.03,289.54,1362.986,933.054,1025.058,0.264,0.245
18-Apr,M8,왜관,3.1,0.091869514,12.7,7.7,3.07,0.043,350,2.6,5.9,11.5,8,0.03,330.776,1346.831,866.155,615.76,0.191,0.201
18-Apr,M9,고령(취),2.8,0.085770942,13,7.7,4.92,0.02,240,1.6,4.9,9.2,14.4,0.03,191.167,1355.507,818.364,713.017,0.077,0.172
18-Apr,M10,달성,2.6,0.077014018,12.1,8.1,9.52,0.029,272,2.2,5,12,17,0.03,265.923,1106.562,739.842,495.397,0.085,0.204
18-Apr,M11,고령,2.9,0.081314294,15.2,8.8,4.76,0.049,396,2.3,5.3,11.8,7.5,0.02,400.139,1234.573,961.832,444.491,0.218,0.155
18-Apr,M12,용산,3.9,0.115951055,16.7,8.6,4.22,0.048,427,3.6,7.7,14.3,4.6,0.18,762.715,1186.951,976.894,831.66,0.246,0.11
18-Apr,M13,남지,4.2,0.104848527,20.1,8.9,6.39,0.065,392,3,10,12.2,5.4,0.12,1202.743,1355.791,930.544,1306.974,0.225,0.098
18-Apr,M14,본포,2.7,0.07599759,15.6,7.8,7.51,0.054,332,1.4,5.1,8.2,11.6,0.03,266.481,1029.927,748.396,3029.103,0.176,0.125
18-Apr,M15,삼량진,3,0.073573798,18.6,8.5,3.5,0.049,372,1.9,6.3,11.5,3.3,0.11,634.263,1102.992,709.995,890.098,0.17,0.101
18-Apr,M16,물금,2.4,0.064113193,17.4,8.5,5.5,0.046,367,1.4,4.6,12.4,5.3,0.03,272.338,1025.241,763.18,392.701,0.25,0.149
18-Apr,M17,구포,2.6,0.070289952,16.9,7.5,4.09,0.047,340,1,5.1,12.6,4.9,0.03,285.402,1084.947,827.243,2268.805,0.258,0.153
18-Apr,M18,하구둑,2.4,0.073495612,13.4,7.7,3.01,0.051,318,1.2,4.2,8.4,3.2,0.03,221.571,998.86,727.057,504.51,0.266,0.15
18-Apr,T1,위천6,2.7,0.079906931,18.1,8.4,3.8,0.036,322,1.7,5.2,11.9,8.4,0.02,186.983,1210.771,881.265,871.176,0.236,0.157
18-Apr,T2,감천2-1,1.9,0.053792533,14.2,8.1,2.75,0.029,299,1.4,3.6,10.3,7.3,0.02,105.625,731.456,551.139,581.265,0.192,0.136
18-Apr,T3,금호강,3.1,0.098671768,16.9,7.9,8.31,0.095,1541,3.2,7.2,8.8,30.9,0.08,251,1255.483,1147.42,532.032,0.17,0.215
18-Apr,T4,회천,2.6,0.062784017,21.9,8.9,2.87,0.037,680,1.9,5.2,11.9,3.6,0.1,381.962,1066.459,663.97,527.848,0.151,0.113
18-Apr,T5,황강,1.3,0.028225442,24.6,8.5,2.31,0.024,466,1.5,3.6,10.2,3.3,0.02,88.796,502.163,367.318,1189.493,0.135,0.094
18-Apr,T6,밀양강3,1.7,0.04722484,20.7,8.8,3.53,0.034,337,1.2,3.9,11.1,5.3,0.02,153.138,692.973,463.505,814.272,0.121,0.13
18-May,M1,안동호,2,,22.8,7.9,1.05,0.015,221,0.5,5.4,8.4,0.6,0.03,241.655,919.024,515.807,210.46,0.092,0.112
18-May,M2,임하호,2.9,,22.8,8.1,0.99,0.011,222,0.7,4.9,8.5,0.5,0.05,122.641,1616.391,804.881,318.503,0.228,0.172
18-May,M3,예천,2.7,,16.7,8.1,5.19,0.014,273,0.6,6.5,9.6,7.5,0.01,149.698,1345.875,726.22,308.833,0.131,0.133
18-May,M4,상주,2.1,,16.9,8,9.54,0.018,223,0.6,5.2,9.1,7.1,0.02,118.689,1031.153,542.213,231.567,0.141,0.122
18-May,M5,낙단보,2.9,,18.3,8.6,2.64,0.018,208,0.7,5.1,10.9,6,0.02,136.913,1548.242,727.197,260.251,0.157,0.108
18-May,M6,해평,2.9,,17,7.2,10.73,0.017,195,0.4,5.7,8.8,1.9,0.02,141.004,1701.233,770.851,320.27,0.266,0.221
18-May,M7,구미,3.1,,18.6,8.3,6.07,0.025,222,0.6,5.8,10.7,3.6,0.02,275.36,1668.213,779.498,290.377,0.22,0.178
18-May,M8,왜관,2.8,,19.4,9,2.49,0.029,254,1.1,5.4,11.3,6,0.03,196.932,1371.09,691.678,298.884,0.224,0.173
18-May,M9,고령(취),2.5,,18,7.9,8.21,0.027,209,0.4,5,8.8,1.1,0.03,166.248,1190.41,639.145,268.666,0.235,0.188
18-May,M10,달성,2.6,,18.5,8.7,4.37,0.026,247,1,4.9,11.5,4.1,0.03,183.821,1173.783,716.922,290.098,0.228,0.168
18-May,M11,고령,2.8,,18.5,8.9,2.06,0.038,305,0.9,5.5,11.8,9.3,0.03,216.039,1234.131,834.031,354.533,0.254,0.21
18-May,M12,용산,2.9,,17.8,9.3,3.39,0.04,282,1,6.2,13,10.2,0.03,247.792,1324.651,898.838,381.59,0.151,0.223
18-May,M13,남지,2.7,,17.4,9,3.74,0.034,268,1.1,5.8,11.4,11,0.03,200.372,1143.978,783.45,329.847,0.186,0.105
18-May,M14,본포,2.6,,18.7,7.6,10.02,0.04,259,0.5,5,8.7,11.7,0.03,178.754,1096.402,763.691,299.768,0.208,0.099
18-May,M15,삼량진,2.8,,16.3,8.4,1.3,0.035,280,0.8,5.6,10.5,11.9,0.04,210.367,1248.768,767.411,302.975,0.179,0.176
18-May,M16,물금,2.9,,16.5,8.6,1.15,0.038,307,0.7,5.4,10.6,10.2,0.05,247.327,1360.846,858.345,376.43,0.219,0.194
